Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,sub_species,Time,Tissue
SRR17271939,7y,OTHER,582,1069971141,PRJNA790470,SAMN24200129,Model organism or animal,Labrador Retriever,717802894,UNIVERSITY OF MINNESOTA,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX13449738,Illumina MiSeq,D02483_T1_lib,PAIRED,RACE,TRANSCRIPTOMIC,Canis lupus familiaris,ILLUMINA,2022-10-26T00:00:00Z,2021-12-19T01:32:00Z,1,D02483_T1,male,SRP351506,familiaris,T1,PBMC
SRR17271940,1.6y,OTHER,589,1071139145,PRJNA790470,SAMN24200128,Model organism or animal,Labrador Retriever,714457253,UNIVERSITY OF MINNESOTA,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX13449737,Illumina MiSeq,D02482_T1_lib,PAIRED,RACE,TRANSCRIPTOMIC,Canis lupus familiaris,ILLUMINA,2022-10-26T00:00:00Z,2021-12-19T01:32:00Z,1,D02482_T1,female,SRP351506,familiaris,T1,PBMC
SRR17271941,12.4y,OTHER,600,1906032600,PRJNA790470,SAMN24200127,Model organism or animal,Golden Retriever,1288965001,UNIVERSITY OF MINNESOTA,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX13449736,Illumina MiSeq,D02447_T1_lib,PAIRED,RACE,TRANSCRIPTOMIC,Canis lupus familiaris,ILLUMINA,2022-10-26T00:00:00Z,2021-12-19T01:34:00Z,1,D02447_T1,female,SRP351506,familiaris,T1,PBMC
SRR17271942,11.5y,OTHER,600,1494811800,PRJNA790470,SAMN24200126,Model organism or animal,Labrador Retriever,1026369830,UNIVERSITY OF MINNESOTA,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX13449735,Illumina MiSeq,D02366_T1_lib,PAIRED,RACE,TRANSCRIPTOMIC,Canis lupus familiaris,ILLUMINA,2022-10-26T00:00:00Z,2021-12-19T01:32:00Z,1,D02366_T1,male,SRP351506,familiaris,T1,PBMC
SRR17271943,11.6y,OTHER,600,666408000,PRJNA790470,SAMN24200171,Model organism or animal,German Shepherd,481930354,UNIVERSITY OF MINNESOTA,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX13449734,Illumina MiSeq,D03728_T1_lib,PAIRED,RACE,TRANSCRIPTOMIC,Canis lupus familiaris,ILLUMINA,2022-10-26T00:00:00Z,2021-12-19T01:31:00Z,1,D03728_T1,male,SRP351506,familiaris,T1,PBMC
SRR17271944,10y,OTHER,600,528944400,PRJNA790470,SAMN24200170,Model organism or animal,Weimeraner,382551537,UNIVERSITY OF MINNESOTA,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13449733,Illumina MiSeq,D03631_T1_lib,PAIRED,RACE,TRANSCRIPTOMIC,Canis lupus familiaris,ILLUMINA,2022-10-26T00:00:00Z,2021-12-19T01:31:00Z,1,D03631_T1,female,SRP351506,familiaris,T1,PBMC
SRR17271945,5.3y,OTHER,599,1973161473,PRJNA790470,SAMN24200125,Model organism or animal,Newfoundland,1345224805,UNIVERSITY OF MINNESOTA,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX13449732,Illumina MiSeq,D02365_T1_lib,PAIRED,RACE,TRANSCRIPTOMIC,Canis lupus familiaris,ILLUMINA,2022-10-26T00:00:00Z,2021-12-19T01:33:00Z,1,D02365_T1,male,SRP351506,familiaris,T1,PBMC
SRR17271946,9.5y,OTHER,600,28473000,PRJNA790470,SAMN24200169,Model organism or animal,Australian Cattle Dog,20836347,UNIVERSITY OF MINNESOTA,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX13449731,Illumina MiSeq,D03265_T1_lib,PAIRED,RACE,TRANSCRIPTOMIC,Canis lupus familiaris,ILLUMINA,2022-10-26T00:00:00Z,2021-12-19T01:30:00Z,1,D03265_T1,female,SRP351506,familiaris,T1,PBMC
SRR17271947,4.4y,OTHER,600,2649228000,PRJNA790470,SAMN24200168,Model organism or animal,Great Dane,1842562644,UNIVERSITY OF MINNESOTA,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX13449730,Illumina MiSeq,D03083_T2_lib,PAIRED,RACE,TRANSCRIPTOMIC,Canis lupus familiaris,ILLUMINA,2022-10-26T00:00:00Z,2021-12-19T01:35:00Z,1,D03083_T2,male,SRP351506,familiaris,T2,PBMC
SRR17271948,4.4y,OTHER,600,20086200,PRJNA790470,SAMN24200167,Model organism or animal,Great Dane,13994545,UNIVERSITY OF MINNESOTA,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX13449729,Illumina MiSeq,D03083_T1_lib,PAIRED,RACE,TRANSCRIPTOMIC,Canis lupus familiaris,ILLUMINA,2022-10-26T00:00:00Z,2021-12-19T01:31:00Z,1,D03083_T1,male,SRP351506,familiaris,T1,PBMC
